Article Title,Author(s),Publication Year,Journal,URL,Data Collected,Data Collected (AAT),Art Historical and/or Cultural Object of Study,Discipline/Concept (AAT),Affiliated Country,Funding Source,Data Deposited?,Data Repository,DOI/URL of Deposited Data,Data Availability Statement,Data Paper Cited?,DOI of Data Paper
Implementing an Adaptive Climate Control Strategy: Collection Monitoring and Sustainability Outcomes,"Vincent Laudato Beltran, Caitlin Breare, Alexandra Bridarolli, Youkyoung Kim, MaryJo Lelyveld, Michael Varcoe-Cocks, Cecilia Winter, Michał Łukomski",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2380610,Acoustic Emissions (AE) data; environmental monitoriing data; HVAC system data; AHU energy usage; AHU mechanical activity; pencil lead break (PLB) test;,,NA,NA,Australia; Unites States,none listed,no,none,none,none,none,
Collaborating with a Source Community to Conserve two Sámi Coffee Bags by Combining Established Conservation Treatments and Traditional Preservation Methods,Kuukua Anna Buduson,2022,Studies in Conservation,https://doi.org/10.1080/00393630.2022.2051959,light microscopy; Fourier transform infrared (FTIR) spectroscopy; focus group interview;,Optical Microscopy; Fourier Transform Infrared Spectroscopy (FTIR); Interviews,"two coffee bags (gáfeseahkkat in Sámi); Guovdageainnu Gilišillju / Kautokeino bygdetun, RiddoDuottar Museat collection",Cultural Artifact,Norway,none listed,no,none,none,none,none,
Are Nature-based Solutions for Built Heritage Conservation Resilient to Climate Change? The Response of Grass-based Soft Caps in Britain and Ireland to Future Climate Scenarios,"Elizabeth L Cooke, Martin Coombes (https://orcid.org/0000-0002-7915-2968), Johanna Jones, Jenny Richards (https://orcid.org/0000-0003-4061-240X), Heather Viles (https://orcid.org/0000-0002-2444-1295)",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2406154,stastical data; climate models; AUC values,,"Festuca rubra (red fescue), Poa pratensis (smooth meadow-grass), Catapodium rigidum (fern-grass) and Poa annua (annual meadow-grass); indigenous grasses",Landscape,United Kingdom,none listed,repository; SI,Global Biodiversity Information Facility (GBIF); WorldClim,none,yes,"Fick, S. E., and R. J. Hijmans. 2017. “WorldClim 2: New 1-km Spatial Resolution Climate Surfaces for Global Land Areas.” International Journal of Climatology 37 (12): 4302–4315.;",https://doi.org/10.1002/joc.5086
Indigenous Stewardship of Decolonised Rock Art Conservation Processes in Australia,"Robin Dann, Melissa Marshall (https://orcid.org/0000-0002-3431-9007), Kadeem May, Lloyd Nulgit",2020,Studies in Conservation,https://doi.org/10.1080/00393630.2020.1778264,no data collected,,NA,NA,Australia,Australian National University in Canberra,no,none,none,none,none,
Hyperspectral Imaging Analyses of Cleaning Tests on Edvard Munch's Monumental Aula Paintings,"Agnese Babini, Jan Dariusz Cutajar (https://orcid.org/0000-0002-1190-1248), Hilda Deborah (https://orcid.org/0000-0003-3779-2569), Tine Frøysaker (https://orcid.org/0000-0002-9373-0082), Jon Yngve Hardeberg (https://orcid.org/0000-0003-1150-2498), Edith Joseph (https://orcid.org/0000-0001-6967-8141)",2022,Studies in Conservation,https://doi.org/10.1080/00393630.2022.2054617,hyperspectral imaging data,,Edvard Munch oil paintings; University of Oslo Aula collection,Fine Art,Norway; Switzerland,Horizon 2020 Research and Innovation Program; H2020 Marie Skłodowska Curie Grant,no,none,none,none,none,
Conservation and Technical Evaluation of an Early Medieval Papyrus Codex,"Solène Girard, Grzegorz Nehring, Ira Rabin",2023,Studies in Conservation,https://doi.org/10.1080/00393630.2023.2183554,photography in transmitted light; measurements of the thickness of the papyrus leaves; digital microscopy under three-light illumination; damage observations,Photography; Measurements; Observations,"coptic codices; Canons of Pseudo-Basil, Encomium of St. Pisenthios; Coptic Museum in Cairo",Cultural Artifact,Germany; France,"Polish Centre of Mediterranean Archaeology of the University of Warsaw; Deutsche Forschungsgemeinschaft (DFG, German Research Foundation) ",no,none,none,none,none,
"Conservation and Analyses of the Twelfth-Century Bronze Doors made by Oderisius of Benevento in Troia, Italy","Martin Fera (https://orcid.org/0000-0001-7289-4048), Antonio Milone (https://orcid.org/0000-0002-9876-1427), Marianne Mödlinger (https://orcid.org/0000-0002-7813-7846), Carlo Usai, Judith Utz (https://orcid.org/0000-0001-5131-0795)",2025,Studies in Conservation,https://doi.org/10.1080/00393630.2025.2491248,ED-XRF measurements; chemical analysis,Wave-length Dispersive X-ray Fluorescence Spectroscopy (XRF); Chemical Analysis,"Cathedral of Troia, Italy, by Oderisius of Benevento",Architectural Heritage,Austria; Italy,Austrian Science Fund,SI,none,none,none,none,
Naphthalene Syndrome and Vinegar Syndrome Affected Films: An International Survey of Audiovisual Conservation Practitioners,"Lisa Russ, Somayeh Mona Soleymani",2020,Studies in Conservation,https://doi.org/10.1080/00393630.2020.1792205,survey data,Surveys,NA,NA,Australia,none listed,no,none,none,none,none,
Architectural Terracruda Sculptures of the Silk Roads: New Conservation Insights Through a Diagnostic Approach Based on Non-Destructive X-ray Micro-Computed Tomography,"Raffaele Giuseppe Agostino, Sudipa Ray Bandyopadhyay, Begoña Carrascosa, Maria Caterina Crocco, Raffaele Filosa, Vincenzo Formoso, Carla Lancelotti, Mònica López-Prat (https://orcid.org/0000-0002-7026-5720), Domenico Miriello, Noor Agha Noori, Alessandra Pecci, José Simón-Cortés, Raffaella de Luca",2021,Studies in Conservation,https://doi.org/10.1080/00393630.2020.1862605,macro- and microscopic observations; radiographic imaging; micro-CT;,Observations; X-radiography,terracruda sculpture from the Buddhist archaeological site of Tepe Narenj; fifth-ninth centuries CE,Cultural Artifact; Decorative Art,Spain; Italy; Afghanistan; India,Agència de Gestió d’Ajuts Universitaris i de Recerca ,no,none,none,none,none,
"Microanalytical Study and Conservation of Wuzhu Coins from the Eastern Han Dynasty, China","Qiang Li, Yunling Liu, Liping Ma, Yixiao Su, Gang Wang, Hang Xiao, Qiuhui Xie",2025,Studies in Conservation,https://doi.org/10.1080/00393630.2025.2566613,"optical microscopy (OM), scanning electron microscopy with energy dispersive X-ray spectroscopy (SEM-EDX), and Raman spectroscopy; measurements of samples (thickness, weight, inner + outer diameter date);",Optical Microscopy; Electron Microscopy; Measurements,"Wuzhu coins, Eastern Han Dynasty ",Cultural Artifact,China,Gansu Provincial Higher Education Institution ,in paper,none,none,none,"Zhou, W. 2004. Research on the Alloy Composition of Ancient Chinese Coins. Beijing: Zhonghua Book Company.; Ma, D., C. Gan, and W. Luo. 2021. “Lead Isotope and Trace Element Analysis of the Wuzhu Coins from Doujiaqiao Hoard, Tianjin City, North China.” The European Physical Journal Plus 136 (2): 193.; Yu, T., A. Du, L. Wang, and Y. Hao. 2022. “An Analytical Study of Wuzhu of the Two Han Dynasties in the Collection of the Henan Museum.” Yellow River Yellow Earth Yellow Race 24: 56–59.",https://doi.org/10.1140/epjp/s13360-021-01142-3;
Collecting and Producing New Documentation to Support Curatorial and Conservation Decisions in Helena Almeida's Mixed-media Photography,"Susana França de Sá (https://orcid.org/0000-0003-2445-9361), Élia Roldão (https://orcid.org/0000-0002-6682-7620), Ana Rosalino",2025,Studies in Conservation,https://doi.org/10.1080/00393630.2025.2472457,survey of works; interviews,Surveys; Interviews,mixed-media photo-artworks by Helena Almeida,Fine Art,Portugal,Portuguese Science and Technology Foundation (FCT-MCTES),no,none,none,none,none,
Magnets in Conservation of Easel Paintings: Mechanical Forces between Magnets and a Thin Paint Layer,"Zuzanna Szozda (https://orcid.org/0000-0002-3239-9867), Stan Zurek (https://orcid.org/0000-0002-4128-5490)",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2429342,calculations of magnetic force,,NA,NA,Demark; United Kingdom,none listed,in paper,none,none,none,none,
"The Application of Remote Sensing in the Conservation of the Archaeological Site of Pachacamac (Second-Sixteenth Century, Peru)","Rommel Angeles, Hernán Chipana, Luigi Magnini, Janet Oshiro, Maria Ilaria Panaccione Apa, Arturo Peralta, Denise Pozzi-Escot, Guido Ventura",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2336765,Orthophotogrammetric data ,Photography,Archaeological Site of Pachacamac,Archaeological Site,Peru; Italy,"Istituto Nazionale di Geofisica e Vulcanologia, Italy (INGV); Museo Pachacamac, Peru; Ministero degli Affari Esteri e della Cooperazione Internazionale, Italy (MAECI)",no,none,none,none,none,
An Investigation into the Suitability and Stability of a New Pigmented Wax-Resin Formulation for Infilling and Reintegration of Losses in Paintings,"Leslie Carlyle (https://orcid.org/0000-0001-9480-4613), Susana França de Sá (https://orcid.org/0000-0003-2445-9361), Catarina Rocha Pires (https://orcid.org/0000-0003-1479-3761), Isabel Pombo Cardoso (https://orcid.org/0000-0003-3328-6749), Kate Seymour (https://orcid.org/0000-0003-3270-7089)",2023,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2023.2172130,"NOVA-PWR samples; workability, opacity, hardness, and flexibility evaluations; digital Shore D hardness measurements; macro photography analysis; digital microscopy analysis;,ATR-FTIR analysis",Measurements; Photography; Fourier Transform Infrared Spectroscopy (FTIR),NA,NA,Portugal; Netherlands,none listed,no,none,none,none,none,
Potential Pesticide Contamination in Repatriated Artifacts in African Museums: The Need for the Adoption of Safety Protocols for Access and Use of Hazardous Artifacts,"Davison Chiwara, Maggi Loubser, Siona O'Connell",2022,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2022.2104576,Frameworks of action and legislations that dictate standards impacting repatriation to Africa,,Zimbabwe bird; Mukwati stick,Cultural Artifact; Decorative Art,South Africa,University of Pretoria,no,none,none,none,none,
Restoring Stephan Von Huene's Tap Dancer: Finding Logic within Integrated Circuits,"Julie Wolfe (http://orcid.org/0000-0003-2787-3322), Coleman Wood",2020,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2020.1720494,observational data; EPROM data,Observations,"Tap Dancer sculpture by Stephan von Huene, 1967",Fine Art,United States,none listed,no,none,none,none,none,
Arsenic and Old Bookcloth: Identification and Safer Use of Emerald Green Victorian-Era Cloth Case Bindings,"Rosie Grayburn (http://orcid.org/0000-0002-1156-1378), Melissa Tedone (http://orcid.org/0000-0002-6472-4812)",2022,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2022.2031457,"copper acetoarsenite (copper and arsenic) levels in Victorian bookcloth, XRF (A) and Raman (B) spectra, color swatches, dark green vs light green bindings analyzed at Winterthur Library and Library Company of Philadelphia (determinded by XRF).",Wave-length Dispersive X-ray Fluorescence Spectroscopy (XRF),emerald green' books 1837-1900; Winterthur Collection,Cultural Artifact; Decorative Art,United States,none listed,repository ,Winterthur Wiki,https://sites.udel.edu/poisonbookproject/resources/arsenical-books-database/,none,none,
"X-ray Fluorescence Analysis of Frédéric Flachéron's Paper Negatives, 1848-1852","Elena Bulat, Katherine Eremin, Laura Panadero",2020,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2020.1834957,"nine paper negatives were analyzed with X-ray fluorescence analysis and three with microfade testing to ascertain if there was a correlation between the presence of halides and the light stability of the negatives. Technical analysis identified iodine and bromine in the negatives and indicated variability in Flachéron’s stabilization and fixing methods not previously documented. XRF analysis. silver, iodine, bromin, calcium, iron, cobalt, and (very low) copper. Delta E values",Wave-length Dispersive X-ray Fluorescence Spectroscopy (XRF),paper negatives by Frédéric Flachéron; Harrison D. Horblit Collection of Early Photography; Houghton Library,Cultural Artifact,United States,none listed,no,none,none,none,none,
The Study of Jiajing Carved Lacquerwares: An Example in the Collection of the Nelson-Atkins Museum of Art,"Julie Chang, Ling-En Lu",2021,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2020.1854536,"ﬂuorescentlight microscopy, pyrolysis–gas chromatography–mass spectrometry with thermally assistedhydrolysis and methylation, and scanning electron microscopy with energy dispersivespectroscopy.",Optical Microscopy; Electron Microscopy,"Red carved lacquer dish, Jiajing period 1521–1567 CE of the Ming dynasty; Nelson-Atkins Museum of Art.",Cultural Artifact; Decorative Art,United States; United Kingdom,none listed,no,none,none,none,none,
Framing the Sanctuary: A Study of Paintings on Sinan's Domed Arcade in the Grand Mosque of Mecca,"Tracey D Chaplin, Idries Trevathan",2021,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2020.1853331,"Analytical results obtained for the 11 samples from the dome interiors; layer numbers are given from the oldest (1) to themost recently applied (color, materials idenitfied, microscopy, SEM-EDX analysis, Raman analysis, FTIR analysis).",Electron Microscopy; Fourier Transform Infrared Spectroscopy (FTIR),"Paintings in the Holy sanctuary of Mecca, 16th century ",Fine Art*,Saudi Arabia; United Kingdom,none listed,no,none,none,none,none,
Thickness Measurements of Clear Coatings on Silver Objects using Fiber Optic Reflectance Spectroscopy,"Michael K Crawford, Lauren Fair, Rosie Grayburn (https://orcid.org/0000-0002-1156-1378), Tia Polidori, Katelyn Rovito",2021,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2020.1812317,"ﬁber optic reﬂectancespectroscopy (FORS) was used to accurately determine coating thicknesses on a number ofnitrocellulose-coated silver objects. ORS measurement of thickness. FORS measurements of nitrocellulose and three Paraloid B-48N coating thicknesses on silver or silver plate objects, sorted ﬁrstby coating material and method (brush or spray), and second by coating age when measured (oldest to youngest) (metals, coating material and method, coating age when measured, iridescence observed, number of FORIS measurement sites, average coatin gthickenss and standard deviation).",Fiber Optic Reflectance Spectroscopy (FORS); Measurements; Coating; Observations,silver objects; Winterthur Collection ,Cultural Artifact; Decorative Art,United States,Institute of Museum and Library Services,no,none,none,none,none,
An Investigation into the Pigments Present on the Late Paintings and Ephemera of Barnett Newman: Context and Correlations,"Bradford A Epley, Corina E Rogge",2022,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2022.2117770,"X-ray ﬂuorescence spectra were collected, Transmission infrared spectra were collected, Dispersive Raman spectra were collected, Backscatter electron images of the uncoated cross sec-tion samples were taken. Pigments and binders on the ephemera and late paintings of Barnett Newman (year, color, elements detected by XRF, Pigments Implied by XRF, Binding MediaIdentiﬁed by FTIR, Pigments and FillersIdentiﬁed by FTIR and Raman, Institution).",Wave-length Dispersive X-ray Fluorescence Spectroscopy (XRF); Colorant; Fourier Transform Infrared Spectroscopy (FTIR),paint and ephemera of Barnett Newman; Menil Collection; CTSMA Collection,Cultural Artifact,United States,Andrew W. Mellon Foundation,no,none,none,none,none,
The Coated Salted Paper Prints from the Eduard Isaac Asser Collection at the Rijksmuseum: FTIR and OCT Identification and Characterization,"Tom Callewaert-Dore, Rosina Herrera Garrido, Suzan de Groot",2020,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2020.1774725,"ourier transform infraredspectroscopy (FTIR) helped us to identify, to a certain extent, the nature of the coatings. Beforethe analysis, the prints had been described either as “shellac coated” or as “waxed,” based ontheir varying degree of sheen. FTIR identiﬁed a larger number of substances in the coatings:gum, protein, natural resin, and possibly starch. Optical coherence tomography (OCT) was alsoused to study the coatings. Number of salted paper prints present in the albums. FTIR analysis results. Extrapolation of FTIR results (type of coating). Comparison of diﬀerent coatings and their surfaces. FTIR spectrum of RP-F-AB12279-AL, showing the albumen and natural resin peaks.",Fourier Transform Infrared Spectroscopy (FTIR); Coating,photographs by Eduard Isaac Asser,Cultural Artifact,Netherlands ,none listed,no,none,none,none,none,
Conservation of Waterlogged Wooden Structures from the Late Bronze Age at İnönü Cave (Türkiye),"Turgay Arikan (https://orcid.org/0000-0003-0562-5432), Hamza Ekmen (https://orcid.org/0000-0002-3452-2494), Burak Kader (https://orcid.org/0000-0003-0493-4073)",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2420573,"Stratigraphy of İnönü Cave, Decay and fungal grpwth on wooden samples, Textural classification based on water saturation rates of wood samples., ",Wood,"structures in nönü Cave, LateBronze Age 1436-1123 Cal BCE; Western Black Searegion of Türkiye",Archaeological Site,Türkiye,Zonguldak Bülent Ecevit University,in paper,none,none,none,none,
East Anglia's Medieval Rood Screens: Conserving Sensitive Painted Artworks in Uncontrolled Church Environments,"Janet Berry, Tobit Curteis, Lucy Wrapson",2020,Studies in Conservation,https://doi.org/10.1080/00393630.2020.1752970,"Environmental factors that cause decay, Internal and external relative humidity and ambient temperature. ",Measurements,"St. Agnes’ Church, Cawston in Norfolk",Architectural Heritage,United Kingdom,Headley Trust,in paper,none,none,none,none,
Conservation of Watts Towers: A Case Study,"Fariba Abazarsa, Ermanno Carbonara, Sara Chao, Charles Dickson, Lily Doan, Laura Garavoglia, Mark Gilberg, Mel Green, Elisabetta Perfetti, Frank Preusser, Osvaldo Vega",2021,Studies in Conservation,https://doi.org/10.1080/00393630.2021.1982517,"Analysis of previous conservation repairs (failed crack repairs), Before and After new repairs with mortar",,"Watts Towers, Los Angeles",Fine Art*,United States,"City of Los Angeles, Department of Cultural Aﬀairs; Andrew W. Mellon Foundation; Friends of Heritage Preservation; Bank of America Art Conservation Project; James Irvine Foundation; Ahmanson Foundation",in paper,none,none,none,none,
More Reliable Dating of Japanese Silk Mounting Textiles for Conservation Decisions: Effects of Silk Processing on Silk Surface Morphology and Aspartic Acid Racemization,"Andrew Hare, Blythe McCarthy (https://orcid.org/0000-0002-6427-3484), Mehdi Moini (https://orcid.org/0000-0002-3671-676X), Christopher M Rollman, Chika Mori Shimada (https://orcid.org/0000-0003-1283-3766), Jiro Ueda",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2023.2289720,"Silk samples and estimated age in 2020, Silk composition and structure, Eﬀect of silk processing steps on morphology and molecular structure of silk ﬁlaments, Treatment processes carried out on silks, AAR age estimation and its relationship with microscope observation",Observations,"Silk mounting textiles; National Museum of Asian Art, Smithsonian Institution",Cultural Artifact,United States,Smithsonian Institution; National Museum of Asian Art; National Science Foundation,in paper,none,none,none,none,
Materials Analysis of Two Nineteenth-century Brazilian Polychrome Sculptures to Reveal Their History and Significance,"Karla Balzuweit, Luiz Antonio Cruz Souza, Dâmia Carina Dias Do Carmo (https://orcid.org/0000-0001-8544-2315), Caio Tadao Joko, Marcelo Carvalho Lasmar, Marcelo Azevedo Maffra, Alessandra Rosado, Karen Santos Silva, Marcus Vinicius de Oliveira Andrade",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2339714,"XRF Analysis, SEM-EDX mapping of sculpture cross sections, Cross-section from S1 revealing the multi-layered coating, in (a) polarized light, (b) brightﬁeld, (c) SEM-BSE at 150x, (d)SEM-BSE at 1500x.",Wave-length Dispersive X-ray Fluorescence Spectroscopy (XRF); Electron Microscopy; Coating,Unnamed Brazialian Sculptures,Fine Art,Brazil,Coordenação de Aperfeiçoa-mento de Pessoal de Nível Superior.,in paper,none,none,none,none,
Traditional and Conservation Interpretations of Pre- and Post-Collection Working Methods for Alaskan Yup'ik Masks,"Chuna McIntyre, Ellen Pearlstein",2023,Studies in Conservation,https://doi.org/10.1080/00393630.2023.2215565,Material observation and magniﬁcation provided with a USBmicroscop,Observations,Central Yup’ik masks from Alaska; Anima Mundi Museum at the Vatican,Cultural Artifact; Decorative Art *craft?,United States,Suzanne Deal Booth,in paper,none,none,none,none,
"Conservation of Dong Minority Wooden Structures: In Situ Material Investigation of the Yashang Drum Tower in Hunan, China",Shiruo Wang,2023,Studies in Conservation,https://doi.org/10.1080/00393630.2023.2225293,"Visual classiﬁcation rules for wooden structures, On-site quantitative characteristics measuringmethods for wooden structural elements, Sampling from the Yashang Drum Tower, Microscopic structure of samples, Visual damages of the wooden structures from the Yashang Drum Tower, Measurement of the moisture content/positions of the moisture content measurements, Resistance drilling tests results, R7, R3, and R1 resistograph results",Wood; Measurements,Dong Minority Drum Tower,Architectural Heritage,China,National Key R&D Program of China; China Postdoctoral Science Foundation; Policy Directed Program of Jiangsu Province,in paper,none,none,yes,none,
"Preventive Conservation, Treatment, and Technical Study of Plasticized Poly(vinyl chloride) Multiples by Joseph Beuys","Angela Chang, Susan Costello, Nicole Ledoux, Georgina Rayner",2022,Studies in Conservation,https://doi.org/10.1080/00393630.2022.2033520,"Condition of works, Composition of works, Beuys multiples incorporating plasticized PVC board, Comparison of 2007 and 2012 photos of Phosphorus-Cross Sled, showing evolution of red staining, Photos of Stamp Sculpture from HAM records, showing increasing plasticizer exudate on the surface, Results from material analyses of Phosphorus-CrossSled, Stamp Sculpture, and the unsigned postcards, Postcard weight measurements and calculated plasticizer loss",Conditions; Photography; Measurements,works by Joseph Beuys; Harvard Art Museums,Decorative Art,United States,Samuel H. Kress Foundation,in paper,none,none,none,none,
"Looking After the Rock Art of Kakadu National Park, Australia","Jeffrey Lee, Melissa Marshall (https://orcid.org/0000-0002-3431-9007), Kadeem May, Gabrielle O'Loughlin",2022,Studies in Conservation,https://doi.org/10.1080/00393630.2022.2066321,Analysis of previous rock art conservation and management,,"Rock art of Kakadu National Park, Australia",Cultural Artifact; Fine Art,Australia,Australian National University (ANU); University of Notre Dame Australia; Paul S. C. Taçon’s Australian Research Council Laureate Project,no,none,none,none,none,
Mould on Magnetic Media: What Are the Current Preservation Practices by Audiovisual Conservation Practitioners?,"Lisa Russ, Somayeh Mona Soleymani",2023,Studies in Conservation,https://doi.org/10.1080/00393630.2023.2167040,"Effects of mold on magnetic film, Mold treatments, Mould growth indicative of spreading from outer to inner structures, Rating of deterioration sources according to signiﬁcance, Mould damage across magnetic media structure indicating a low 0–25% bracket, Chemical methods applied to mould-aﬀected magnetic media",Conditions,NA,NA,Australia,none listed,in paper,none,none,none,none,
Beauty Revealed: Technical Analysis and Treatment of Zand and Qajar Oil Paintings,"Melissa Gardner, Corina E Rogge (https://orcid.org/0000-0001-8154-922X)",2023,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2022.2138245,"x-radiography, infrared reﬂectography, and macro-area x-rayﬂuorescence spectroscopy. Selective microscopic sampling enabled pigment and binderidentiﬁcation using Raman and Fourier transform infrared spectroscopy and scanning electronmicroscopy coupled with energy dispersive x-ray spectroscopy. All paintings are oil on cottoncanvas and utilize a limited palette that includes Prussian blue, orpiment, and vermillion. Fourpaintings contain copper alloy leaf used to simulate gold jewelry and textiles. Summary of pigments and materials found in the Zand and Qajar paintings through XRF, SEM-EDX, FTIR, and Ramanspectroscopies. X-radiograph Standing Woman Holding a Glass of Wine. Diagram showing the diﬀerent canvas sections piecedtogether to create the support. Map of the arsenicsignal, after deconvolution and subtraction of lead. Elemental distribution maps obtained by MA-XRF showing mercury in red, and the arsenic signal, after deconvolution andsubtraction of lead",X-radiography; Wave-length Dispersive X-ray Fluorescence Spectroscopy (XRF); Electron Microscopy; Fourier Transform Infrared Spectroscopy (FTIR),"Hossein Afshar Collection, Museum of Fine Arts, Houston",Fine Art,United States,none listed,no,none,none,none,none,
Géricault's Lion Devouring a Horse Stone Paper Matrix: Technical Study,"Katherine Eremin, Georgina Rayner, Christina Taylor, Christopher Wallace",2020,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2020.1726141,"X-ray fluorescence (XRF) analysis of the stone paper coating revealed the presence of lead and the absence of calcium, whereas previously published stone paper recipes all included calcium. Small samples were taken for analysis which confirmed that the material was dominated by lead white (basic lead carbonate) combined with a drying oil binder, casein and gum. Stone paper mockups revealed that the addition of casein was crucial to forming a resistant, stable coating for printing, but it also formed a brittle film, and casein was likely a contributing factor to the development of losses in the image during printing. Etch tests carried out on mockups showed that stone paper reacts more like a metal plate than a limestone, and that etching with tannic acid was most effective at stabilizing the matrix. ",Wave-length Dispersive X-ray Fluorescence Spectroscopy (XRF); Coating,Lion Devouring a Horse by Théodore Géricault’s; Harvard Museum Collection,Fine Art,United States,none listed,no,none,none,none,none,
Seeking Balance: Conservation Values and the Artist's Voice,Matthew Skopek,2021,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2020.1790908,no data collected,,exhibition catalogs of Whitney Museum ,Cultural Artifact,United States,none listed,no,none,none,none,none,
Conserving (with) David Lynch. A Treatment Conditioned by Communication,Mirosław Wachowiak (https://orcid.org/0000-0002-6638-8613),2021,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2021.1907673,"x-ray fluorescece (XRF), Scanning Electron Microscopy using Energy Dispersive X-ray (SEM-EDX), Fourier Transformed Infrared spectroscropy with Attenuated Total Reflectance, cleaning tests on painting surfaces, fungal samples",Wave-length Dispersive X-ray Fluorescence Spectroscopy (XRF); Electron Microscopy,"Silence and Dynamism exhibit, 2017–2018; David Lynch personal collections",Fine Art; Commercial Art,Poland,"Centre for Contemporary Art in Toruń, Poland",no,none,none,none,none,
Art that Lives and Breathes: Conserving Creatures in Contemporary Art,Pamela Johnson,2020,Journal of the American Institute for Conservation,https://doi.org/10.1080/01971360.2020.1790093,"curatorial, exhibition maintenance data ",,"Palimpsest by Ann Hamilton in collaboration with Kathryn Clark, 1989; Ant Farm, 1974/2007",Fine Art,United States,none listed,no,none,none,none,none,
Durability of Chinese Repair Bamboo Papers under Artificial Aging Conditions,Yanbing Luo (https://orcid.org/0000-0003-2859-4528),2019,Studies in Conservation,https://doi.org/10.1080/00393630.2019.1608706,"mechanical strength (tensile strength and folding endurance), chemical properties (degrees of polymerization and pH)",,NA,NA,China,"Science & Technology Program of Sichuan, China; Key Projects of Social Science Planning in Sichuan Province; High Level Research Team Building Plan of Social Sciences in Sichuan Province",in paper,none,none,none,none,
The Influence of Relative Humidity and Intrinsic Chloride on Post-excavation Corrosion Rates of Archaeological Wrought Iron,"David E. Watkinson (https://orcid.org/0000-0002-5696-9780), Melanie B. Rimmer, Nicola J. Emmerson (https://orcid.org/0000-0001-5277-0865)",2019,Studies in Conservation,https://doi.org/10.1080/00393630.2018.1565006,"oxygen consumption of nails in controlled relative humidity, chloride ion levels, corrosion rate in controlled relative humidity ",Measurements,Archaeological iron nails from Caerleon and Billingsgate,Cultural Artifacts,United Kingdom,Arts and Humanities Research Council; Engineering and Physical Sciences Research Council Science and Heritage Programme,repository ,Cardiff University Data Catalog,none,none,none,
Solvent Vapour Use – The Unintended Consequences in Textile Conservation,"Aisling Macken (https://orcid.org/0000-0001-9328-8709), Margaret J. Smith (https://orcid.org/0000-0003-2219-1381)",2019,Studies in Conservation,https://doi.org/10.1080/00393630.2018.1544347,"microscopy and ImageJ to monitor the movement of the solid particulates of the soiling, and Fourier transform infrared spectroscopy with attenuated total reflectance (FTIR-ATR) to monitor the movement of the oily components",Fourier Transform Infrared Spectroscopy (FTIR),NA,NA,United Kingdom,AHRC,in paper,none,none,none,none,
"After Eighty Years: Experimental Study of Atmospheric Corrosion in the Metallic Dome of Hafez’s tomb, Shiraz, Iran","Omid Oudbashi (http://orcid.org/0000-0002-7984-8199), Hamid Fadaei",2019,Studies in Conservation,https://doi.org/10.1080/00393630.2018.1493250,"corrosion mechanisms and conservation conditions measured using optical microscopy, ICP-MS, SEM-EDX, and X-ray diffraction",Optical Microscopy; Electron Microscopy; Wave-length Dispersive X-ray Fluorescence Spectroscopy (XRF),"tomb of Hafez, Shriaz, Iran",Archaeological Site,Iran,Research Institute of Cultural Heritage and Tourism of Iran,in paper,none,none,none,none,
"Sanguine Paint: Production, Characterization, and Adhesion to the Glass Substrate","Ângela Santos (http://orcid.org/0000-0003-4424-0666), Márcia Vilarigues (http://orcid.org/0000-0003-4134-2819)",2019,Studies in Conservation,https://doi.org/10.1080/00393630.2018.1482708,"X-ray powder diffraction, optical microscopy (OM), and fibre optic reflectance spectroscopy (FORS)",Wave-length Dispersive X-ray Fluorescence Spectroscopy (XRF); Optical Microscopy; Fiber Optic Reflectance Spectroscopy (FORS),"paintings of Sanguine paint, 15th-19th centuries ",Fine Art,Portugal,Portuguese Science and Technology Foundation (FCT-MCTES),in paper,none,none,none,none,
